case,b,h,alpha,L,E,epcr,beta_1,beta_2,beta_3,eta_1,eta_2,eta_3,xi,omega,eta_c,n,kappa,eta_s,rho_c,rho_t,iota,psi,rho_x,M_cr
shabani_noskin,250,400,0.88624999999999998,3836,31528.599999999999,0.000127658,2,50,300,-0.85399999999999998,0,0,1.0009999999999999,11.18,0,1.9410947520663779,136.30168105406631,0,0,0.0050699999999999999,0,0,0,27029216.440017633
skin_iota0,250,400,0.88624999999999998,3836,31528.599999999999,0.000127658,2,50,300,-0.85399999999999998,0,0,1.0009999999999999,11.18,0,1.9410947520663779,136.30168105406631,0,0,0.0050699999999999999,0,6.5999999999999996,0.0011000000000000001,27223438.977468219
skin_iota10,250,400,0.88624999999999998,3836,31528.599999999999,0.000127658,2,50,300,-0.85399999999999998,0,0,1.0009999999999999,11.18,0,1.9410947520663779,136.30168105406631,0,0,0.0050699999999999999,10,6.5999999999999996,0.0011000000000000001,27029216.440017633
