zone,set,beta,k,M
zone211,4,30,0.1757236504987208,54780798.411794536
zone211,4,60,0.12031836553858884,51057701.021156795
zone211,4,120,0.058857074507785531,26363031.072629023
zone211,4,250,0.021176600024491142,-33106074.209606368
zone212,4,1.05,0.67941726877356912,78958175.929438516
zone212,4,2,0.58948100831093853,90600662.360014513
zone212,4,5,0.45371140896860385,102758006.43642969
zone212,4,12,0.32451788248222652,102100518.71395104
zone212,4,30,0.190162057981349,66950695.609688021
zone212,4,60,0.01203815913355287,-25894997.275341082
zone212,4,120,0.029021134561865006,-178457355.92341992
zone212,4,250,0.037729928200176767,-505113373.58378309
zone221,4,1.05,0.91519518533738442,-427309803.48650289
zone221,4,2,0.85035051801992645,-356937123.88549703
zone221,4,5,0.69650583843141634,-208372503.80430838
zone221,4,12,0.49408427293121365,-60397574.005324915
zone221,4,30,0.29018233228574658,31555030.451141901
zone221,4,60,0.17679189995570285,52084317.569722869
zone221,4,120,0.097221876566023949,38772172.462040283
zone221,4,250,0.026402932054230485,-34228454.284856625
zone222,4,1.05,0.91739780417817141,-317950834.83460516
zone222,4,2,0.85413791492131941,-253884751.44760665
zone222,4,5,0.7035513210713098,-120576399.27844509
zone222,4,12,0.50331215849347399,3356223.6097727926
zone222,4,30,0.29369243005977969,48043297.817946434
zone222,4,60,0.16173085546384966,-9596967.1492599491
zone222,4,120,0.03908949866839935,-200947418.89399227
zone222,4,250,-0.10680561642718769,-738521891.168185
zone311,4,1.05,0.50754676231568219,34564254.41159524
zone311,4,2,0.43482759248003811,34210714.420405537
zone311,4,5,0.34612484827092005,44115105.145683616
zone311,4,12,0.28260810583926299,66447652.505769677
zone311,4,30,0.24069219957621946,120207467.62964082
zone311,4,60,0.2226119593149134,207944856.86331508
zone311,4,120,0.21236464960807855,382451137.17730814
zone311,4,250,0.20663682852338408,759926600.05542099
zone312,4,1.05,0.68929915052956581,85872860.653133973
zone312,4,2,0.59165352300035379,92043506.158954427
zone312,4,5,0.45523860088041218,103958714.89662258
zone312,4,12,0.34152075430659612,116951681.02076682
zone312,4,30,0.25002710359469954,134261728.5666171
zone312,4,60,0.20092281051533104,154224972.94299576
zone312,4,120,0.16741736607425356,188136082.51650065
zone312,4,250,0.14544443734201259,256530075.15071714
zone321,4,1.05,0.91524232035204611,-424631491.45934361
zone321,4,2,0.8503768720172119,-356131834.02882975
zone321,4,5,0.69657337804510011,-207476606.22426838
zone321,4,12,0.49621668235524047,-46093731.556057483
zone321,4,30,0.30626657749519648,96052257.00695093
zone321,4,60,0.22703268005572841,206652320.21745148
zone321,4,120,0.24977248698746257,372588157.3453781
zone321,4,250,0.24716413771893506,756695883.82033563
zone322,4,1.05,0.91744401430047218,-315405349.74023378
zone322,4,2,0.85416377875818217,-253118344.30813828
